13
0000000000000001|000000000001|Bulbasaur|0000000001
0000000000000002|000000000001|Ivysaur|0000000001
0000000000000003|000000000002|Ivysaur|0000000002
0000000000000004|000000000003|Venusaur|0000000003
0000000000000005|000000000004|Charmander|0000000004
0000000000000006|000000000005|Charmeleon|0000000005
0000000000000007|000000000006|Charizard|0000000006
0000000000000008|000000000007|Squirtle|0000000007
0000000000000009|000000000008|Wartortle|0000000008
0000000000000010|000000000009|Blastoise|0000000009
0000000000000011|000000000010|Caterpie|0000000010
0000000000000012|000000000011|Metapod|0000000011
0000000000000013|000000000012|Venusaur|0000000012
